environment,genotype,human_score
Georgia2025,PI570254,1.2660593531058733
Georgia2025,PI576130,1.2285158883674665
Georgia2025,PI576337,3.8359936200665294
Georgia2025,PI576339,2.7898070402243738
Georgia2025,PI576350,2.184353169211141
Georgia2025,PI576366,1.6107826554376214
Georgia2025,PI576375,2.266059353105874
Georgia2025,PI576380,2.743897690941407
Georgia2025,PI576387,2.2962498405393656
Georgia2025,PI576390,3.533150794651413
Georgia2025,PI576391,2.7660593531058737
Georgia2025,PI576393,2.2475749323810708
Georgia2025,PI576399,3.686850685651412
Georgia2025,PI576428,2.393088753857459
Georgia2025,PI576434,3.033150794651413
Georgia2025,PI576435,1.7317170256411103
Georgia2025,PI585295,2.940310503728991
Georgia2025,PI585467,1.6868506856514127
Georgia2025,PI595714,2.4693475797501137
Georgia2025,PI595718,3.242455764916228
Georgia2025,PI595739,1.684353169211141
Georgia2025,PI595744,2.6719962778877346
Georgia2025,PI595745,3.521239786990836
Georgia2025,PI597945,3.6222937613644755
Georgia2025,PI597950,1.9817170256411103
Georgia2025,PI597951,2.0398070402243738
Georgia2025,PI597966,3.5398070402243738
Georgia2025,PI597967,2.692591633765691
Georgia2025,PI597968,3.434353169211141
Georgia2025,PI597971,3.9368506856514127
Georgia2025,PI597972,1.5160593531058737
Georgia2025,PI597973,2.98118983133679
Georgia2025,PI597976,4.273135606356971
Georgia2025,PI607931,2.6035158883674665
Georgia2025,PI629034,2.047089961242548
Georgia2025,PI629040,2.6040449158358903
Georgia2025,PI629059,2.5201840189847453
Georgia2025,PI642992,4.48118983133679
Georgia2025,PI651497,1.2660593531058737
Georgia2025,PI655972,2.547089961242547
Georgia2025,PI655973,3.7896426473234186
Georgia2025,PI655974,2.2661814201697372
Georgia2025,PI655977,3.2660593531058733
Georgia2025,PI655982,2.5273323129851066
Georgia2025,PI655983,2.9070454457000423
Georgia2025,PI655984,2.297089961242548
Georgia2025,PI655985,3.719347579750114
Georgia2025,PI655990,3.3809106493147723
Georgia2025,PI655992,2.30249002808364
Georgia2025,PI655997,2.972706845500158
Georgia2025,PI655999,1.6107826554376214
Georgia2025,PI656001,2.815310503728991
Georgia2025,PI656003,3.310543844290453
Georgia2025,PI656010,3.4070454457000423
Georgia2025,PI656011,1.547089961242548
Georgia2025,PI656012,2.673039253831
Georgia2025,PI656016,2.6107826554376214
Georgia2025,PI656017,2.942097494645312
Georgia2025,PI656018,3.7220142584051716
Georgia2025,PI656019,2.3346334259809556
Georgia2025,PI656021,2.1354984357805824
Georgia2025,PI656022,1.9695366726766417
Georgia2025,PI656024,2.0106798364822644
Georgia2025,PI656031,1.6211987651138422
Georgia2025,PI656034,2.372586725253365
Georgia2025,PI656035,2.4811898313367906
Georgia2025,PI656037,2.6920974946453113
Georgia2025,PI656046,2.976608742937904
Georgia2025,PI656053,1.797089961242548
Georgia2025,PI656055,2.5273323129851066
Georgia2025,PI656056,3.27313560635697
Georgia2025,PI656060,3.434353169211141
Georgia2025,PI656068,2.78157465717421
Georgia2025,PI656070,2.9695366726766417
Georgia2025,PI656071,2.552870006009975
Georgia2025,PI656072,2.047089961242548
Georgia2025,PI656075,2.0618506856514114
Georgia2025,PI656076,1.722014258405172
Georgia2025,PI656078,1.9695366726766417
Georgia2025,PI656082,1.797089961242548
Georgia2025,PI656087,4.302822057234623
Georgia2025,PI656090,3.4212519819312774
Georgia2025,PI656095,3.202109060158238
Georgia2025,PI656100,2.047089961242548
Georgia2025,PI656102,2.5266847390594736
Georgia2025,PI656103,4.73685068565141
Georgia2025,PI656106,2.9817170256411103
Georgia2025,PI656109,3.969536672676642
Georgia2025,PI656110,4.0470899612425475
Georgia2025,PI656111,1.7773323129851066
Georgia2025,PI656118,2.2045904381403334
