env_id,genotype,dry_g,fresh_g,water_fraction,peak_dose
MI2020+MI2021,PI533762,9.955,28.4772,0.6504263013114062,0.0
MI2020,PI533766,11.91,30.5233,0.6098062791375769,0.0
MI2021,PI533766,17.5,32.6037,0.4632511034023746,0.0
MI2020+MI2021,PI533766,14.705,31.5635,0.5365286912699758,0.0
MI2020,PI533769,12.15,21.612,0.4378123264852859,0.0
MI2021,PI533769,17.4,37.3275,0.533855736387382,0.0
MI2020+MI2021,PI533769,14.775,29.46975,0.4858340314363339,0.0
MI2020,PI533776,18.8,47.5622,0.6047281244349504,0.0
MI2021,PI533776,14.54,26.7872,0.4572034404491698,0.0
MI2020+MI2021,PI533776,16.67,37.1747,0.53096578244206,0.0
MI2020,PI533785,16.562,42.02846,0.6059336935019746,0.0
MI2021,PI533785,11.54,25.951,0.5553157874455705,0.0
MI2020+MI2021,PI533785,14.051,33.989729999999994,0.5806247404737725,0.0
MI2020,PI533788,18.0,45.1338,0.6011858075322707,0.0
MI2021,PI533788,13.0,24.9334,0.4786110197566316,0.0
MI2020+MI2021,PI533788,15.5,35.0336,0.5398984136444511,0.0
MI2020,PI533789,25.7,76.9722,0.6661132200976456,0.0
MI2021,PI533789,15.4,26.9469,0.4285056908215787,0.0
MI2020+MI2021,PI533789,20.55,51.95955,0.5473094554596122,0.0
MI2020,PI533792,32.1,77.3004,0.5847369483210954,0.0
MI2021,PI533792,27.73,51.7235,0.4638800545206724,0.0
MI2020+MI2021,PI533792,29.915,64.51195,0.5243085014208839,0.0
MI2020,PI533794,24.26,61.18816,0.603518066240266,0.0
MI2021,PI533794,14.46,25.1959,0.4260971031001075,0.0
MI2020+MI2021,PI533794,19.36,43.19203,0.5148075846701868,0.0
MI2020,PI533799,32.15,83.926,0.6169244334294498,0.0
MI2021,PI533799,19.61,38.1427,0.4858780317072467,0.0
MI2020+MI2021,PI533799,25.88,61.03435,0.5514012325683483,0.0
MI2020,PI533800,21.87,70.9173,0.6916126248461235,0.0
MI2021,PI533800,11.1,20.7386,0.4647661847955022,0.0
MI2020+MI2021,PI533800,16.485,45.82795,0.5781894048208128,0.0
MI2020,PI533807,25.6,63.458,0.5965835670837404,0.0
MI2021,PI533807,17.1,31.6554,0.4598078053033605,0.0
MI2020+MI2021,PI533807,21.35,47.5567,0.5281956861935504,0.0
MI2020,PI533810,27.48,86.7992,0.6834072203430446,0.0
MI2021,PI533810,23.7,58.66,0.5959768155472212,0.0
MI2020+MI2021,PI533810,25.59,72.7296,0.6396920179451329,0.0
MI2020,PI533814,23.85,82.0991,0.7094974244541049,0.0
MI2021,PI533814,13.48,35.2582,0.6176775898939821,0.0
MI2020+MI2021,PI533814,18.665,58.678650000000005,0.6635875071740436,0.0
MI2020,PI533821,24.44,77.6166,0.6851189049765128,0.0
MI2021,PI533821,26.74,78.6681,0.6600909390210263,0.0
MI2020+MI2021,PI533821,25.59,78.14235,0.6726049219987695,0.0
MI2020,PI533822,14.78,33.9686,0.5648922828730062,0.0
MI2021,PI533822,15.47,31.9357,0.5155891369220026,0.0
MI2020+MI2021,PI533822,15.125,32.95215,0.5402407098975044,0.0
MI2020,PI533824,13.97,44.2573,0.6843458593271619,0.0
MI2021,PI533824,22.86,52.9609,0.5683608095783871,0.0
MI2020+MI2021,PI533824,18.415,48.6091,0.6263533344527745,0.0
MI2020,PI533830,12.08,49.1762,0.7543527153379074,0.0
MI2021,PI533830,13.89,27.8774,0.5017469347930582,0.0
MI2020+MI2021,PI533830,12.985,38.5268,0.6280498250654828,0.0
MI2020,PI533838,6.74,15.3668,0.5613920920425853,0.0
MI2021,PI533838,15.9,37.3757,0.574589907346217,0.0
MI2020+MI2021,PI533838,11.32,26.37125,0.5679909996944011,0.0
MI2020,PI533839,7.43,17.2818,0.5700679327384879,0.0
MI2021,PI533839,14.3,25.5628,0.4405933622294897,0.0
MI2020+MI2021,PI533839,10.865,21.4223,0.5053306474839888,0.0
MI2020,PI533841,18.28,47.731,0.6170203850746894,0.0
MI2021,PI533841,31.84,76.1579,0.5819212452024018,0.0
MI2020+MI2021,PI533841,25.06,61.94445,0.5994708151385456,0.0
MI2020,PI533842,32.8,102.0975,0.678738460785034,0.0
MI2021,PI533842,31.68,77.4786,0.5911129008526226,0.0
MI2020+MI2021,PI533842,32.239999999999995,89.78805,0.6349256808188283,0.0
MI2020,PI533855,15.3,42.6458,0.6412307894329571,0.0
MI2021,PI533855,13.84,33.9528,0.5923752974717844,0.0
MI2020+MI2021,PI533855,14.57,38.2993,0.6168030434523708,0.0
MI2020,PI533856,41.62,123.8918,0.6640617054558898,0.0
MI2021,PI533856,25.71,67.0998,0.6168393944542309,0.0
MI2020+MI2021,PI533856,33.665,95.4958,0.6404505499550603,0.0
MI2020,PI533863,16.88,40.736,0.5856245090337785,0.0
MI2021,PI533863,15.4,28.7249,0.4638797698164311,0.0
MI2020+MI2021,PI533863,16.14,34.73045,0.5247521394251048,0.0
MI2020,PI533869,10.1,22.7606,0.5562507139530593,0.0
MI2021,PI533869,14.29,27.0806,0.4723159752738123,0.0
MI2020+MI2021,PI533869,12.195,24.9206,0.5142833446134358,0.0
MI2020,PI533871,31.05,73.4589,0.5773146616679531,0.0
MI2021,PI533871,18.8,40.6853,0.5379166431118856,0.0
MI2020+MI2021,PI533871,24.925,57.0721,0.5576156523899194,0.0
MI2020,PI533876,38.31,118.3012,0.6761655841191805,0.0
MI2021,PI533876,31.0,57.2238,0.4582673642784994,0.0
MI2020+MI2021,PI533876,34.655,87.76249999999999,0.5672164741988399,0.0
MI2020,PI533902,28.47,114.6672,0.7517162710871113,0.0
MI2021,PI533902,23.3,67.5482,0.6550611267213634,0.0
MI2020+MI2021,PI533902,25.885,91.1077,0.7033886989042373,0.0
MI2020,PI533903,16.01,64.1732,0.750518908204671,0.0
MI2021,PI533903,13.65,30.6147,0.5541357583121834,0.0
MI2020+MI2021,PI533903,14.830000000000002,47.39395,0.6523273332584272,0.0
MI2020,PI533910,11.4,24.6174,0.5369129152550635,0.0
MI2021,PI533910,14.5,23.7561,0.3896304528100151,0.0
MI2020+MI2021,PI533910,12.95,24.18675,0.4632716840325392,0.0
MI2020,PI533911,10.8,44.6588,0.7581663636282211,0.0
MI2021,PI533911,12.0,25.2285,0.5243474641774184,0.0
MI2020+MI2021,PI533911,11.4,34.94365,0.6412569139028197,0.0
MI2020,PI533912,15.35,30.3578,0.4943638867111583,0.0
MI2021,PI533912,16.5,40.4979,0.5925714666686421,0.0
MI2020+MI2021,PI533912,15.925,35.42785,0.5434676766899003,0.0
MI2020,PI533913,13.09,45.2058,0.710435386609683,0.0
MI2021,PI533913,13.9,26.9432,0.4840998842008373,0.0
MI2020+MI2021,PI533913,13.495,36.0745,0.5972676354052602,0.0
MI2020,PI533915,13.47,34.2156,0.6063199242450813,0.0
MI2021,PI533915,9.2,22.2019,0.5856210504506371,0.0
MI2020+MI2021,PI533915,11.335,28.20875,0.5959704873478592,0.0
MI2020,PI533919,29.77,103.5211,0.712425776001221,0.0
MI2021,PI533919,11.2,20.4741,0.4529674076027762,0.0
MI2020+MI2021,PI533919,20.485,61.997600000000006,0.5826965918019986,0.0
MI2020,PI533921,17.15,53.2946,0.6782037955064866,0.0
MI2021,PI533921,9.92,20.2091,0.5091320246819502,0.0
MI2020+MI2021,PI533921,13.535,36.751850000000005,0.5936679100942184,0.0
MI2020,PI533924,25.18,74.3735,0.6614385500211769,0.0
MI2021,PI533924,14.9,36.6702,0.5936755185409407,0.0
MI2020+MI2021,PI533924,20.04,55.52185,0.6275570342810588,0.0
MI2020,PI533936,4.2,7.2845,0.4234333173175921,0.0
MI2021,PI533936,20.9,53.2529,0.6075331108728351,0.0
MI2020+MI2021,PI533936,12.55,30.2687,0.5154832140952137,0.0
MI2020,PI533937,14.67,46.1794,0.6823258855680238,0.0
MI2021,PI533937,13.34,30.3472,0.5604207307428692,0.0
MI2020+MI2021,PI533937,14.005,38.2633,0.6213733081554464,0.0
MI2020,PI533938,16.69,38.533,0.5668647652661355,0.0
MI2021,PI533938,13.21,31.3069,0.5780482896741612,0.0
MI2020+MI2021,PI533938,14.95,34.91995,0.5724565274701483,0.0
MI2020,PI533940,12.7,36.0,0.6472222222222223,0.0
MI2021,PI533940,9.8,19.427,0.495547433983631,0.0
MI2020+MI2021,PI533940,11.25,27.7135,0.5713848281029266,0.0
MI2020,PI533943,26.29,80.6952,0.6742061485689359,2.0
MI2021,PI533943,25.2,64.0525,0.606572733304711,2.0
MI2020+MI2021,PI533943,25.745,72.37385,0.6403894409368234,2.0
MI2020,PI533948,16.2,42.6767,0.6204017648974733,0.0
MI2021,PI533948,16.69,31.3837,0.4681952733425313,0.0
MI2020+MI2021,PI533948,16.445,37.0302,0.5442985191200023,0.0
MI2020,PI533949,11.32,25.1299,0.5495405871093796,0.0
MI2021,PI533949,17.3,29.2001,0.4075362755607001,0.0
MI2020+MI2021,PI533949,14.31,27.165,0.4785384313350398,0.0
MI2020,PI533954,11.32,33.3706,0.6607792487998418,0.0
MI2021,PI533954,13.54,25.9097,0.4774157940848408,0.0
MI2020+MI2021,PI533954,12.43,29.64015,0.5690975214423414,0.0
MI2020,PI533955,15.94,38.9491,0.5907479248557734,0.0
MI2021,PI533955,10.2,27.7065,0.6318553408045043,0.0
MI2020+MI2021,PI533955,13.07,33.3278,0.6113016328301388,0.0
MI2020,PI533956,13.09,40.2273,0.6745990906672832,0.0
MI2021,PI533956,12.17,28.7843,0.5772000708719683,0.0
MI2020+MI2021,PI533956,12.63,34.5058,0.6258995807696257,0.0
MI2020,PI533957,10.25,25.3829,0.5961848330962971,0.0
MI2021,PI533957,10.0,22.9747,0.5647386037684932,0.0
MI2020+MI2021,PI533957,10.125,24.1788,0.5804617184323951,0.0
MI2020,PI533962,17.79,46.8668,0.6204135976853551,0.0
MI2021,PI533962,17.47,29.768,0.4131281913464123,0.0
MI2020+MI2021,PI533962,17.63,38.3174,0.5167708945158838,0.0
MI2020,PI533964,32.34,98.407,0.6713648419319763,0.0
MI2021,PI533964,14.4,32.7635,0.5604865170082561,0.0
MI2020+MI2021,PI533964,23.37,65.58525,0.6159256794701162,0.0
MI2020,PI533965,14.75,43.0236,0.6571649048429234,0.0
MI2021,PI533965,27.28,62.1931,0.561366132255829,0.0
MI2020+MI2021,PI533965,21.015,52.60835,0.6092655185493763,0.0
MI2020,PI533967,28.29,83.1631,0.6598250906952723,0.0
MI2021,PI533967,17.6,35.0134,0.497335305911451,0.0
MI2020+MI2021,PI533967,22.945,59.08825,0.5785801983033616,0.0
MI2020,PI533970,21.5,63.2838,0.6602606038196189,0.0
MI2021,PI533970,32.1,82.0758,0.6088981161316734,0.0
MI2020+MI2021,PI533970,26.8,72.6798,0.6345793599756462,0.0
MI2020,PI533972,28.49,88.0041,0.6762650831040827,0.0
MI2021,PI533972,14.87,29.4731,0.495472142394251,0.0
MI2020+MI2021,PI533972,21.68,58.7386,0.5858686127491669,0.0
MI2020,PI533976,16.6,40.8801,0.5939344571074924,0.0
MI2021,PI533976,14.4,26.7334,0.4613479766883374,0.0
MI2020+MI2021,PI533976,15.5,33.80675,0.5276412168979149,0.0
MI2020,PI533979,6.75,16.6337,0.5941973223035164,0.0
MI2021,PI533979,17.69,32.4762,0.4552934148699663,0.0
MI2020+MI2021,PI533979,12.22,24.55495,0.5247453685867414,0.0
MI2020,PI533980,30.29,70.6133,0.5710439817994627,0.0
MI2021,PI533980,13.7,29.713,0.5389223572173797,0.0
MI2020+MI2021,PI533980,21.995,50.16315,0.5549831695084212,0.0
MI2020,PI533985,19.05,50.2188,0.6206599918755525,0.0
MI2021,PI533985,16.5,37.8391,0.5639431170403102,0.0
MI2020+MI2021,PI533985,17.775,44.02895,0.5923015544579313,0.0
MI2020,PI533986,19.65,49.072,0.5995679817411151,0.0
MI2021,PI533986,11.1,18.9943,0.41561415793159,0.0
MI2020+MI2021,PI533986,15.375,34.03315,0.5075910698363526,0.0
MI2020,PI533987,11.02,41.1952,0.7324931059929313,0.0
MI2021,PI533987,15.1,31.4736,0.5202328300543949,0.0
MI2020+MI2021,PI533987,13.06,36.3344,0.6263629680236631,0.0
MI2020,PI533989,29.81,87.4655,0.6591799052197723,0.0
MI2021,PI533989,11.4,29.4734,0.6132105559589324,0.0
MI2020+MI2021,PI533989,20.605,58.46945,0.6361952305893523,0.0
MI2020,PI533991,21.11,56.7165,0.6277979071346081,0.0
MI2021,PI533991,9.4,17.2455,0.454930271665072,0.0
MI2020+MI2021,PI533991,15.255,36.981,0.54136408939984,0.0
MI2020,PI533996,11.86,30.6275,0.6127663047914457,0.0
MI2021,PI533996,15.97,31.0005,0.4848470185964742,0.0
MI2020+MI2021,PI533996,13.915,30.814,0.54880666169396,0.0
MI2020,PI533997,8.95,17.886,0.4996086324499609,0.0
MI2021,PI533997,13.41,24.6528,0.4560455607476635,0.0
MI2020+MI2021,PI533997,11.18,21.2694,0.4778270965988122,0.0
MI2020,PI534009,31.95,102.5253,0.6883696024298392,0.0
MI2021,PI534009,15.1,45.3,0.6666666666666666,0.0
MI2020+MI2021,PI534009,23.525,73.91265,0.6775181345482529,0.0
MI2020,PI534021,31.0,105.7559,0.7068721461403099,0.0
MI2021,PI534021,28.08,58.3152,0.5184788871512058,0.0
MI2020+MI2021,PI534021,29.54,82.03555,0.6126755166457578,0.0
MI2020,PI534028,34.77,101.427,0.6571918719867491,0.0
MI2021,PI534028,36.67,91.386,0.598735036001138,0.0
MI2020+MI2021,PI534028,35.72,96.4065,0.6279634539939436,0.0
MI2020,PI534037,17.36,38.4844,0.5489081290081176,0.0
MI2021,PI534037,14.3,25.6327,0.4421188559925407,0.0
MI2020+MI2021,PI534037,15.83,32.05855,0.4955134925003291,0.0
MI2020,PI534046,7.1,17.103,0.5848681517862364,0.0
MI2021,PI534046,16.82,30.6117,0.4505368862232414,0.0
MI2020+MI2021,PI534046,11.96,23.85735,0.5177025190047388,0.0
MI2020,PI534047,12.182,25.14282,0.5154879206071555,0.0
MI2021,PI534047,14.98,23.4763,0.3619096706039708,0.0
MI2020+MI2021,PI534047,13.581,24.30956,0.4386987956055631,0.0
MI2020,PI534053,27.18,86.2619,0.6849130380851801,0.0
MI2021,PI534053,14.2,30.1323,0.5287449016503885,0.0
MI2020+MI2021,PI534053,20.69,58.1971,0.6068289698677842,0.0
MI2020,PI534054,23.44,70.2765,0.6664603388045791,0.0
MI2021,PI534054,10.46,21.9689,0.5238723832326607,0.0
MI2020+MI2021,PI534054,16.950000000000003,46.1227,0.59516636101862,0.0
MI2020,PI534063,8.59,21.7759,0.6055272112748498,0.0
MI2021,PI534063,15.3,24.7548,0.3819380483784962,0.0
MI2020+MI2021,PI534063,11.945,23.26535,0.493732629826673,0.0
MI2020,PI534070,38.6,92.8306,0.5841888342852465,0.0
MI2021,PI534070,11.25,19.7576,0.4305988581609102,0.0
MI2020+MI2021,PI534070,24.925,56.2941,0.5073938462230784,0.0
MI2020,PI534075,14.53,37.3589,0.6110699190821999,0.0
MI2021,PI534075,13.5,27.7808,0.51405287104763,0.0
MI2020+MI2021,PI534075,14.015,32.56985,0.5625613950649149,0.0
MI2020,PI534079,16.73,67.0054,0.7503186310357075,0.0
MI2021,PI534079,13.5,30.5006,0.5573857563457768,0.0
MI2020+MI2021,PI534079,15.115,48.753,0.6538521936907422,0.0
MI2020,PI534092,20.3,51.8456,0.6084527905936087,0.0
MI2021,PI534092,17.64,35.5381,0.503631313998216,0.0
MI2020+MI2021,PI534092,18.97,43.69185,0.5560420522959124,0.0
MI2020,PI534096,17.2,52.6179,0.6731150425995717,0.0
MI2021,PI534096,14.1,25.6891,0.4511290780914863,0.0
MI2020+MI2021,PI534096,15.65,39.1535,0.562122060345529,0.0
MI2020,PI534097,16.16,43.8592,0.6315482270538451,0.0
MI2021,PI534097,13.07,27.2842,0.5209681793858716,0.0
MI2020+MI2021,PI534097,14.615,35.5717,0.5762582032198583,0.0
MI2020,PI534099,15.04,34.3341,0.5619515292376966,0.0
MI2021,PI534099,11.27,20.7009,0.4555792260239893,0.0
MI2020+MI2021,PI534099,13.155,27.5175,0.508765377630843,0.0
MI2020,PI534101,22.77,61.4162,0.629250914253894,0.0
MI2021,PI534101,14.58,30.0091,0.5141473752961602,0.0
MI2020+MI2021,PI534101,18.675,45.71265,0.571699144775027,0.0
MI2020,PI534105,16.4,37.6851,0.5648147411045745,0.0
MI2021,PI534105,11.59,21.2794,0.4553417859526114,0.0
MI2020+MI2021,PI534105,13.995,29.48225,0.510078263528593,0.0
MI2020,PI534108,18.22,73.0135,0.7504571072472899,0.0
MI2021,PI534108,13.29,29.5059,0.5495816091019085,0.0
MI2020+MI2021,PI534108,15.755,51.2597,0.6500193581745992,0.0
MI2020,PI534112,38.0,101.5503,0.6258012039353896,0.0
MI2021,PI534112,25.6,52.661,0.513871745694157,0.0
MI2020+MI2021,PI534112,31.8,77.10565,0.5698364748147733,0.0
MI2020,PI534114,19.7,49.6005,0.6028265844094314,0.0
MI2021,PI534114,15.8,27.6154,0.4278554719468123,0.0
MI2020+MI2021,PI534114,17.75,38.60795,0.5153410281781219,0.0
MI2020,PI534115,24.28,80.6258,0.6988557012767626,0.0
MI2021,PI534115,17.4,37.9242,0.5411900580631892,0.0
MI2020+MI2021,PI534115,20.84,59.275,0.6200228796699758,0.0
MI2020,PI534116,9.8,31.9642,0.693406999080221,0.0
MI2021,PI534116,17.5,32.5508,0.4623788048220013,0.0
MI2020+MI2021,PI534116,13.65,32.2575,0.5778929019511112,0.0
MI2020,PI534117,15.0,41.186,0.6357985723304035,0.0
MI2021,PI534117,9.5,20.9376,0.5462708237811401,0.0
MI2020+MI2021,PI534117,12.25,31.0618,0.5910346980557718,0.0
MI2020,PI534123,25.4,71.6647,0.6455716691760378,0.0
MI2021,PI534123,15.62,37.7974,0.5867440617608619,0.0
MI2020+MI2021,PI534123,20.51,54.73105,0.6161578654684499,0.0
MI2020,PI534124,20.58,67.2556,0.6940031759437133,0.0
MI2021,PI534124,8.9,20.4293,0.5643512014606472,0.0
MI2020+MI2021,PI534124,14.739999999999998,43.84245,0.6291771887021802,0.0
MI2020,PI534127,20.31,53.3743,0.6194797870885427,0.0
MI2021,PI534127,11.56,22.813,0.4932713803533072,0.0
MI2020+MI2021,PI534127,15.935,38.09365,0.556375583720925,0.0
MI2020,PI534128,23.03,64.4267,0.642539506136431,0.0
MI2021,PI534128,25.07,68.3481,0.6332012155422023,0.0
MI2020+MI2021,PI534128,24.05,66.3874,0.6378703608393166,0.0
MI2020,PI534132,23.5,76.3348,0.6921456530966217,0.0
MI2021,PI534132,23.14,63.0148,0.6327846791547382,0.0
MI2020+MI2021,PI534132,23.32,69.6748,0.66246516612568,0.0
MI2020,PI534133,31.6,88.6891,0.6436991693455002,0.0
MI2021,PI534133,24.8,58.6885,0.577429990543292,0.0
MI2020+MI2021,PI534133,28.200000000000003,73.6888,0.6105645799443962,0.0
MI2020,PI534135,44.05,148.8298,0.7040243284611012,0.0
MI2021,PI534135,27.1,75.7393,0.6421936828040397,0.0
MI2020+MI2021,PI534135,35.575,112.28455,0.6731090056325704,0.0
MI2020,PI534137,14.41,36.4231,0.6043719507675074,0.0
MI2021,PI534137,11.7,20.9541,0.4416367202599969,0.0
MI2020+MI2021,PI534137,13.055,28.6886,0.5230043355137521,0.0
MI2020,PI534138,36.4,121.4806,0.700363679468162,0.0
MI2021,PI534138,18.5,39.0972,0.5268203349600483,0.0
MI2020+MI2021,PI534138,27.45,80.2889,0.6135920072141052,0.0
MI2020,PI534139,11.8,30.3162,0.6107691597231842,0.0
MI2021,PI534139,8.35,18.5212,0.5491652808673304,0.0
MI2020+MI2021,PI534139,10.075,24.4187,0.5799672202952573,0.0
MI2020,PI534144,22.14,62.827,0.6476037372467252,0.0
MI2021,PI534144,14.1,24.9887,0.4357449567204376,0.0
MI2020+MI2021,PI534144,18.12,43.90785,0.5416743469835814,0.0
MI2020,PI534148,24.42,78.7424,0.6898748323647742,0.0
MI2021,PI534148,15.7,36.2481,0.566873849939721,0.0
MI2020+MI2021,PI534148,20.06,57.49525,0.6283743411522476,0.0
MI2020,PI534155,25.81,95.2539,0.7290399658176725,0.0
MI2021,PI534155,26.0,76.284,0.6591683708248126,0.0
MI2020+MI2021,PI534155,25.905,85.76895,0.6941041683212426,0.0
MI2020,PI534157,52.11,152.3228,0.6578975701602124,0.0
MI2021,PI534157,26.2,57.2038,0.5419884692974942,0.0
MI2020+MI2021,PI534157,39.155,104.7633,0.5999430197288533,0.0
MI2020,PI534163,23.85,83.863,0.7156075981064355,0.0
MI2021,PI534163,13.8,33.6051,0.5893480453859682,0.0
MI2020+MI2021,PI534163,18.825000000000003,58.73405,0.6524778217462018,0.0
MI2020,PI534167,14.8,35.1979,0.5795203691129299,0.0
MI2021,PI534167,13.16,24.3745,0.4600914890561858,0.0
MI2020+MI2021,PI534167,13.98,29.7862,0.5198059290845578,0.0
MI2020,PI540816,25.13,73.3095,0.6572067740197383,0.0
MI2021,PI540816,30.16,57.3283,0.4739073023271229,0.0
MI2020+MI2021,PI540816,27.645,65.3189,0.5655570381734306,0.0
MI2020,PI542406,12.65,39.1199,0.6766351652228151,0.0
MI2021,PI542406,12.98,23.9654,0.4583858395854022,0.0
MI2020+MI2021,PI542406,12.815,31.54265,0.5675105024041087,0.0
MI2020,PI542718,23.86,71.882,0.6680671099858101,2.0
MI2021,PI542718,10.6,21.9786,0.5177126841564067,2.0
MI2020+MI2021,PI542718,17.23,46.9303,0.5928898970711084,2.0
MI2020,PI548797,23.01,58.7504,0.6083430921321386,0.0
MI2021,PI548797,14.5,27.8385,0.4791386030138118,0.0
MI2020+MI2021,PI548797,18.755000000000003,43.29445,0.5437408475729751,0.0
MI2020,PI552856,26.61,84.4996,0.6850872666852861,0.0
MI2021,PI552856,12.62,25.9721,0.5140939700678806,0.0
MI2020+MI2021,PI552856,19.615,55.23585,0.5995906183765833,0.0
MI2020,PI552861,21.15,60.7212,0.6516867255587835,0.0
MI2021,PI552861,23.37,54.7654,0.5732707147213386,0.0
MI2020+MI2021,PI552861,22.26,57.743300000000005,0.612478720140061,0.0
MI2020,PI561071,26.44,82.7258,0.6803899146336452,0.0
MI2021,PI561071,28.87,65.9818,0.5624551012551946,0.0
MI2020+MI2021,PI561071,27.655,74.3538,0.6214225079444199,0.0
MI2020,PI561072,13.7,62.9731,0.782446790772568,0.0
MI2021,PI561072,25.53,55.7688,0.5422171536773249,0.0
MI2020+MI2021,PI561072,19.615,59.37095,0.6623319722249464,0.0
MI2020,PI561073,27.26,117.0463,0.7671007114278708,0.0
MI2021,PI561073,11.8,27.7379,0.5745892803709004,0.0
MI2020+MI2021,PI561073,19.53,72.3921,0.6708449958993856,0.0
MI2020,PI561472,23.822,68.99962000000001,0.6547517218210767,0.0
MI2021,PI561472,13.23,27.1198,0.5121645439863126,0.0
MI2020+MI2021,PI561472,18.526,48.05971,0.5834581329036946,0.0
MI2020,PI564163,20.720666666666663,55.460366666666665,0.6263878529472398,0.0
MI2021,PI564163,13.197317073170732,28.17326341463415,0.5315659077565151,0.0
MI2020+MI2021,PI564163,16.958991869918698,41.81681504065041,0.5789768803518774,0.0
MI2020,PI564164,25.98,76.1378,0.6587765866626037,0.0
MI2021,PI564164,22.8,50.6667,0.5500002960524368,0.0
MI2020+MI2021,PI564164,24.39,63.40225,0.6043884413575202,0.0
MI2020,PI564165,32.85,100.0178,0.6715584625936584,0.0
MI2021,PI564165,35.7,80.8032,0.5581858144231912,0.0
MI2020+MI2021,PI564165,34.275000000000006,90.4105,0.6148721385084248,0.0
MI2020,PI565121,27.72,76.7718,0.6389299195798457,0.0
MI2021,PI565121,9.5,19.8789,0.5221063539733084,0.0
MI2020+MI2021,PI565121,18.61,48.32535,0.580518136776577,0.0
MI2020,PI576130,18.21,51.3605,0.6454473768752251,0.0
MI2021,PI576130,11.8,19.9952,0.4098583660078418,0.0
MI2020+MI2021,PI576130,15.005,35.67785,0.5276528714415335,0.0
MI2020,PI576333,14.14,43.0737,0.6717254380283096,0.0
MI2021,PI576333,10.41,26.5014,0.6071905635173991,0.0
MI2020+MI2021,PI576333,12.275,34.78755,0.6394580007728543,0.0
MI2020,PI576339,17.17,49.9063,0.6559552601575352,0.0
MI2021,PI576339,10.83,21.2174,0.4895698813238192,0.0
MI2020+MI2021,PI576339,14.0,35.56185,0.5727625707406772,0.0
MI2020,PI576340,23.52,69.5826,0.6619844616326496,0.0
MI2021,PI576340,14.04,35.2492,0.6016930880700839,0.0
MI2020+MI2021,PI576340,18.78,52.4159,0.6318387748513667,0.0
