genotype,human_score_blue
PI576344,3.1725099305669016
PI576345,2.294279484432682
PI576346,3.3738666170001315
PI576347,2.641052572185946
PI576348,2.693125821475698
PI576350,2.6942469351111
PI576351,2.376381520445052
PI576352,2.034734238292794
PI576353,2.3638770112133223
PI576354,2.277977489330267
PI576355,1.5015981756785877
PI576356,1.65606708579587
PI576357,3.115698437367742
PI576358,1.843670087254836
PI576359,2.455111037224577
PI576360,2.1444886067128883
PI576361,2.7388441615890593
PI576362,2.3378118944857835
PI576363,1.9860083722445392
PI576364,2.4163590480540003
PI576365,2.230268516233045
PI576366,1.887890171328317
PI576367,2.7422924362842345
PI576368,2.4071977574737295
PI576369,2.0536385560171304
PI576370,2.953559062152636
PI576371,2.1824840798943397
PI576372,1.8083531620298867
PI576373,2.345455253369068
PI576374,2.632387661159288
PI576375,2.567299979339749
PI576376,1.991955923105178
PI576377,2.2547663284490493
PI576378,2.668357036701422
PI576379,2.7895180027573696
PI576380,1.841639813321104
PI576381,1.6133405153295608
PI576382,2.853272298741283
PI576383,2.891295497592735
PI576385,1.9884951360145735
PI576386,2.0770467067988276
PI576387,2.1709309880198364
PI576389,1.880018482255564
PI576390,2.139469057818768
PI576391,2.4514903046114327
PI576392,2.7335294980116425
PI576393,2.0098537576615234
PI576394,1.4592624257569138
PI576395,2.3167231457840445
PI576396,1.7651448413260091
PI576397,2.6851533067904043
PI576398,2.394902417500845
PI576399,2.7455785333938767
PI576400,1.9764120386764197
PI576401,1.8706454291932495
PI576402,2.0740046900447893
PI576403,2.734836986530409
PI576404,3.516523790706128
PI576405,2.3329174709547824
PI576406,2.8767475995368916
PI576407,2.379839086766044
PI576408,3.1274869095179767
PI576409,2.0532388800216923
PI576410,2.207776193144495
PI576411,1.8829177173904403
PI576412,2.6688867792318693
PI576413,2.713982102708231
PI576414,2.9370857672175523
PI576415,2.4551115786539652
PI576416,2.5349657095373708
PI576417,2.58236082155422
PI576418,2.5351466453707916
PI576419,3.0628955015640607
PI576420,2.712170845824922
PI576421,2.450100398898573
PI576422,2.9023306192712326
PI576423,1.5653680371778735
PI576424,2.2770135851073836
PI576425,1.5804202275232644
PI576426,1.6862893592024613
PI576427,2.0506655975035555
