feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_std_46,0.00012633920606931376,2.6647974160649043e-05,8.815165844895464e-05,0.00015604212578574617,1533
embedding_std_581,0.00012626988479229968,1.5645539525185406e-05,0.00011133066426330958,0.00015278263525092217,1534
embedding_mean_505,0.00012626957551082946,1.2240526356859663e-05,0.00010687442661204702,0.00013702928359821335,1535
embedding_mean_613,0.00012626774915470304,3.0495385831610668e-05,8.716588479711499e-05,0.00016109816710147744,1536
embedding_mean_891,0.00012621544988867926,4.376785748243942e-05,6.178337248347033e-05,0.00017558059777441582,1537
embedding_mean_948,0.00012612936503664647,3.398177876883888e-05,7.051332723269539e-05,0.00015516618026070714,1538
embedding_std_130,0.0001260828917672058,2.846607732794415e-05,7.980235657223537e-05,0.00015604901318485055,1539
embedding_mean_973,0.0001260061196680649,5.10052172617801e-05,6.946262504656205e-05,0.00017436801135073952,1540
embedding_std_70,0.0001259389896530707,2.86847085757954e-05,8.631659197258496e-05,0.00015893720602293827,1541
embedding_std_346,0.00012591444764404255,3.269331936422773e-05,7.642790253104422e-05,0.0001575294910292818,1542
embedding_std_480,0.0001259089214917195,2.788256561544811e-05,7.65013225183258e-05,0.00014413558402129073,1543
embedding_std_365,0.00012590891561539718,3.930572865233786e-05,8.054185851013725e-05,0.00017978965355988584,1544
embedding_std_403,0.00012573282406830056,4.615711511003805e-05,4.410023655418337e-05,0.0001531416560248353,1545
embedding_mean_353,0.00012557318656635373,3.32658934948342e-05,7.554257981060781e-05,0.00016642877222082094,1546
embedding_mean_294,0.000125560576970972,2.793004260199336e-05,9.480273294069387e-05,0.00015795584410390362,1547
embedding_std_617,0.00012550227857108075,3.688807576050909e-05,6.218915630813398e-05,0.00015856990238807857,1548
embedding_std_49,0.00012548767135488935,3.077679791856644e-05,7.201472270291866e-05,0.00014792843497985687,1549
embedding_std_712,0.0001254705288405657,2.890565781803141e-05,7.957284142538282e-05,0.00015610268381835432,1550
embedding_mean_570,0.00012541732700651606,5.282549690331653e-05,6.000821891239589e-05,0.00020779595631616868,1551
embedding_std_593,0.0001253687967573674,3.41672745472931e-05,6.776664832962481e-05,0.0001508171394566059,1552
embedding_mean_336,0.00012533869002451388,1.4586320810916446e-05,0.00010392972398767225,0.0001448035696810702,1553
embedding_std_342,0.00012533631674996136,2.077459940284743e-05,9.249190617790724e-05,0.00014408119332198904,1554
embedding_mean_961,0.0001253153463794728,2.2776880758006228e-05,9.962399564485049e-05,0.00015163240299484752,1555
embedding_mean_795,0.00012531472933130478,2.0756791228335996e-05,9.592238838070197e-05,0.00014952223233057258,1556
embedding_std_408,0.0001252493150860196,5.3383263184609834e-05,4.623924010233603e-05,0.00018928109318526118,1557
embedding_std_579,0.00012520521331357604,1.9556067088249277e-05,0.00010229963466786564,0.0001516691068357222,1558
embedding_std_494,0.00012519935469930274,2.945946192743071e-05,7.785833629622336e-05,0.00015151448171099382,1559
embedding_std_689,0.00012518093463304017,1.555666789354461e-05,0.00010567201777855494,0.00014814269428960728,1560
embedding_std_393,0.0001250642088240841,3.048132967132024e-05,9.317913926541446e-05,0.0001694378167494218,1561
embedding_std_912,0.0001250609052146286,4.799838272756572e-05,4.056472563262216e-05,0.0001579338910034436,1562
embedding_std_823,0.00012504016411001156,4.635575023111314e-05,5.1858267773473836e-05,0.00017938880012133065,1563
embedding_std_888,0.0001250231367520864,4.066884330686813e-05,5.831976726805838e-05,0.00016671805543059406,1564
embedding_std_481,0.00012501440086001527,2.4600788479735975e-05,9.498357243426716e-05,0.00015082956419249882,1565
embedding_std_758,0.00012494468242623102,3.22978377569443e-05,7.552950361487828e-05,0.0001650664015929893,1566
embedding_mean_349,0.00012494228102979325,3.9656640555158165e-05,6.436124645873786e-05,0.00016933750037559782,1567
