feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_mean_214,0.003946091429789641,0.0014369927789681255,0.002840962067634755,0.00624501432267106,49
embedding_std_617,0.0039044479389907364,0.0006009292760731819,0.003327213438478861,0.0046490732665408156,50
embedding_mean_723,0.003835786568792322,0.0007814076509608487,0.0025778424382625004,0.004673396792868455,51
embedding_mean_505,0.00383466550393798,0.0009323589299545551,0.0027064417487503083,0.00500841263957207,52
embedding_mean_629,0.0037603674809508574,0.0009056214989662424,0.0024505510795657702,0.004594280824032542,53
embedding_mean_548,0.00356523001273198,0.0008321473165988222,0.0025724787658108687,0.004865146545209075,54
embedding_mean_129,0.0034613275456176124,0.0009761547697050206,0.002735894419994952,0.005112602640692217,55
embedding_std_606,0.0034280788053012356,0.0010331490418833509,0.001999864071996737,0.004735406211530035,56
embedding_mean_158,0.0034092291629817086,0.0009619797447169702,0.002300644084528126,0.0044936043367645884,57
embedding_mean_901,0.003293245320475182,0.0006103381857604418,0.002674111504608438,0.004075380232758002,58
embedding_std_326,0.0032868177567760316,0.0006750368935497166,0.002635063809828989,0.004222003644147462,59
embedding_mean_924,0.0032686795902024295,0.001283121383143037,0.001283523347239586,0.00451079588366075,60
embedding_std_920,0.003260564599178934,0.0012073906946471597,0.0024575808677614725,0.0053711008965617426,61
embedding_std_82,0.003213900564742379,0.002194470802584661,0.001044182825657617,0.006794498831278692,62
embedding_mean_462,0.0032065237024057197,0.0005879866150216811,0.0025712849810949445,0.0040330682983263375,63
embedding_mean_141,0.003119196089591721,0.00044178608833056124,0.0025442679437544316,0.00353607147650249,64
embedding_mean_732,0.003012494952969333,0.0014882311908236867,0.0020635813768625708,0.005655146002528422,65
embedding_std_687,0.002901160134799885,0.0014702469096884213,0.0013002851527873442,0.00495304037949246,66
embedding_std_517,0.002894961111765848,0.0005453911499608915,0.002179369648086374,0.0034458187809961347,67
embedding_mean_577,0.0028379914574731876,0.0007397543400559927,0.0017969199608694646,0.0038027510302785336,68
embedding_mean_656,0.0027831714611773637,0.0008587977591139597,0.001368063622551023,0.003677732801800175,69
embedding_std_37,0.002755976724524213,0.0007461608532328455,0.001701465360748694,0.0036402261810905873,70
embedding_mean_561,0.0027490224530381433,0.0012932576302804879,0.0013251097006049253,0.004671557035378272,71
embedding_mean_403,0.0027059585834559616,0.0009725848891599543,0.0017897868004754587,0.0041476472468966,72
embedding_mean_734,0.0027026387090189996,0.0003745300682844655,0.0022823160813798026,0.0031888277250291604,73
embedding_mean_560,0.0027005801991555915,0.0006319090041654129,0.0020912437518101116,0.0037327635199426107,74
embedding_std_821,0.002693302898246942,0.00038551602488502305,0.0023886519809339203,0.0033603209159264475,75
embedding_std_270,0.002653842289502589,0.00020722887990894023,0.0024241497125292322,0.0029416533782741353,76
embedding_std_128,0.0025686148544191963,0.00032887278419404007,0.002200849243182243,0.0030204319816869423,77
embedding_mean_677,0.0024842158346186994,0.0006053054958165021,0.001455261078786762,0.0029236614035217236,78
embedding_mean_949,0.0024482112654638953,0.0005894236166772873,0.001522661036720747,0.0030674397023627577,79
embedding_std_488,0.002443758033607437,0.00040912234790733276,0.00200464026763939,0.003095189087067229,80
embedding_mean_10,0.0024337781755102176,0.0003773611662778373,0.002060649244749201,0.002989857672667982,81
embedding_mean_470,0.0023011856487177703,0.0008463014491154608,0.001241006457684158,0.003128811818341448,82
embedding_std_172,0.002283542791335258,0.0007221687596250287,0.0017069616170390935,0.003494436772105891,83
embedding_std_538,0.0022326287167597687,0.0007342097083955526,0.0010519704813641362,0.0030730495613145617,84
embedding_std_269,0.00221139123720118,0.0003711288914652869,0.001740948626935237,0.00259177808490304,85
embedding_mean_86,0.002189262685033686,0.00034624198640090974,0.0017332691014291183,0.002704161536046811,86
embedding_mean_355,0.0021803445137503616,0.000495638606192222,0.0016084601672904104,0.0026235446904235337,87
embedding_mean_683,0.002175841663447188,0.0006206705131811352,0.0011666544812286004,0.0028109450781812683,88
embedding_mean_815,0.0021742412019990784,0.000829178606426505,0.0013236951081037967,0.003325237907141047,89
embedding_std_576,0.0021352941791601895,0.0008379573387046967,0.0014157301826035792,0.003049900299550134,90
embedding_std_96,0.002073275773895102,0.00038277393335080126,0.0017417235857201468,0.002658257323845084,91
embedding_mean_950,0.0019430580844716806,0.0006934182031609348,0.0009665346704875853,0.0025273853072373194,92
embedding_mean_174,0.001939003427917626,0.00032669016801966207,0.0016094852130121456,0.0024511142198595823,93
embedding_mean_875,0.0019363487804234143,0.0004416577069456491,0.0011698025253817702,0.0022391026987205877,94
embedding_mean_699,0.0019108231688359709,0.0010263024921969004,0.0010870486746793026,0.003690495949957309,95
embedding_std_567,0.0018742648700725468,0.0008411507571365331,0.0010599595475213114,0.0027922925176768723,96
embedding_std_971,0.0018730947980170813,0.0006155076784168194,0.0012192127975888772,0.002591387688641732,97
embedding_mean_68,0.0018000224375255666,0.0005538570829392177,0.0011915191100132856,0.00252062425269301,98
embedding_std_528,0.001798795140979122,0.0006829673247971586,0.0011670182678368297,0.0025613040216506695,99
embedding_std_244,0.0017952307346288479,0.0003710269507068741,0.0012213396857197112,0.002221086179079649,100
embedding_std_762,0.0017935971790390838,0.00036720919353081313,0.0014859642586641385,0.0024201204607856375,101
embedding_std_328,0.00177759279551209,0.00021312849080060766,0.0015531444254418246,0.002106745689398051,102
embedding_mean_41,0.0017519581721087327,0.0005766061767031951,0.0012985257377609344,0.00276070783401056,103
embedding_mean_836,0.0017267769912701117,0.0009510375073376455,0.00035397330351672016,0.0029136705444063006,104
embedding_std_589,0.0017091815868791557,0.0005572882161095793,0.0012019519637461718,0.0023979583153982908,105
