genotype,dry,fresh,water_frac,peak_dose
PI655992,-0.2887069540310228,-0.0369328426672894,0.9230463756037895,0.0
PI655993,-0.0461110169498535,0.0071953668893441,0.2732789733561974,0.0
PI655995,-0.813974936603768,-0.7698206145647921,0.1044260695358929,0.0
PI655996,0.6297732718761805,0.6742627165388171,0.549439786272826,0.0
PI655997,-0.3660203481523481,-0.5134379603777552,-0.725431940729795,0.0
PI655998,-0.9162998118570638,-0.8904641190141548,-0.2529631749257379,0.0
PI655999,5.770041459975431,4.4280921572100045,-0.2239370384837962,0.0
PI656000,-0.5070407318429263,-0.6230122096867333,-0.5223999187533697,0.0
PI656001,-0.0799900097074338,-0.0509250113400261,0.2616425300089999,0.0
PI656002,0.0677976017946976,0.4244776949594894,0.9778357377216912,0.0
PI656003,-0.6519133208497572,-0.4449474138895469,0.7522971216923546,0.0
PI656004,-0.0411840895026911,0.0235861215324085,0.3559506653461033,0.0
PI656005,-0.4550348083990895,-0.6714022600892491,-0.9355088332923556,0.0
PI656006,0.344762999615644,0.4092291251430404,0.3310194516264251,0.0
PI656007,-0.0588594772329132,-0.1812901414314963,-0.1666813016153134,0.0
PI656008,1.4003142822504628,1.6217813457607884,0.8761716141276772,0.0
PI656010,-0.3110712064276864,-0.2428448126367391,0.3883052884904243,0.0
PI656011,0.1978355886943985,0.1083357869336499,0.0947604812761088,0.0
PI656012,0.090456482105583,0.2205899715036188,0.5726075514373713,0.0
PI656013,2.9842631530841595,1.8869283139189603,-0.737054314234914,2.0
PI656014,-0.7908010325735952,-0.650045956518539,0.4491186425198048,0.0
PI656015,-0.1347218528828438,-0.0427111322890963,0.4066310911561027,0.0
PI656016,-0.3108937007168562,-0.1342268058738838,0.7147400966711626,0.0
PI656017,1.5064417511098744,1.8106349567000404,1.0535191671656825,0.0
PI656018,-0.0796730554996769,0.0277595087531901,0.5135509003076084,0.0
PI656019,-1.0552278371066786,-1.053490715628272,-0.5479343789715576,0.0
PI656020,-0.5640941761863516,-0.6315578714377005,-0.3050958151882835,0.0
PI656021,-0.9089836417428436,-0.9245605966645754,-0.4409217137833955,0.0
PI656022,-0.5249830723892008,-0.5106000483286608,0.0487276325201437,0.0
PI656023,0.0423600233613069,-0.1647174990720122,-0.7707332068227695,0.0
PI656024,0.7579894979624568,0.9530686209056972,0.8718263382498118,0.0
PI656025,0.1651546885193819,-0.2475848391310052,-1.229712167476555,2.0
PI656026,0.3676711926352436,0.8635349049381279,0.9793404545570844,0.0
PI656027,1.7617818094128093,1.9569958713565128,0.9176479350036288,0.0
PI656028,0.3856995090377061,0.3798688083978975,0.3905900690641646,0.0
PI656029,0.890319328182583,0.9824199387016868,0.625949340051063,0.0
PI656031,-0.1392929705210676,-0.2834922695215727,-0.2781667735013654,0.0
PI656032,0.5862516797190854,0.1693314992543727,-0.7123052024387677,0.0
PI656033,0.2817663800146163,0.1725812661708436,-0.0073572215331731,0.0
PI656034,-0.3811471482993755,-0.284185362652278,-0.3928138014309543,0.0
PI656035,-0.7524207158512349,-0.5128858535884204,0.2484002282745524,0.0
PI656036,2.48990105613479,2.439520888314405,0.6585434779397601,0.0
PI656037,0.6628055702927406,0.7052336086456494,0.5547417833141155,0.0
PI656038,0.498696537310053,1.4238694096976727,1.9882722631310752,0.0
PI656039,0.396769547884307,0.150123889407973,-0.3020899829925224,0.0
PI656040,1.4190063343410089,1.7116607656387208,1.0354785516863794,0.0
PI656041,-0.3839422715920569,-0.3840531334717207,0.0813467175309254,0.0
PI656042,0.447541994393433,0.3168670230533889,-0.5916809957674833,0.0
PI656043,1.9432681309624629,2.569225515553835,1.4185382886202866,0.0
PI656044,0.350558704709929,0.4887931727971935,0.6800029836815631,0.0
PI656046,0.151173202563986,-0.038910635196509,-0.6345856295139657,2.0
PI656047,3.2342364421742653,2.9885966071493075,0.4058479511486043,0.0
PI656048,0.579270971732219,0.4047337212570575,-0.4311760938189038,0.0
PI656049,-0.1869246577693663,-0.2739294544074832,-0.3044927206992305,0.0
PI656050,0.3353136368473287,0.0284464542316479,-0.5654083648825654,0.0
PI656051,1.1184329292104245,1.0882491412292492,0.154350747862199,0.0
PI656052,-0.7288917735310843,-0.8848949896033612,-0.9977462167951608,0.0
PI656053,0.705706239586833,1.3408554681829303,1.4025747418880203,0.0
PI656055,-0.2794236734830926,-0.1123318933464304,0.5879160109727506,0.0
PI656056,-0.1088934621257608,-0.0124508117571752,0.6873219159860838,0.0
PI656057,0.1628341287260771,0.6470307532290949,0.7579333768952903,0.0
PI656058,-0.2319503939136914,0.0605971378786729,0.928354665871414,0.0
PI656059,0.7196278627221453,0.3522803995993628,-0.5041120279437344,0.0
PI656060,-0.3732770025713882,-0.2608238908545281,0.5771766449969178,0.0
PI656061,0.4388606081015537,0.8012168984415362,1.1681377865950953,0.0
PI656062,0.9913611495035208,1.0873830996440037,0.7047422854010292,0.0
PI656064,3.1493704357197503,1.517602964874298,-1.7399513296132807,2.0
PI656065,-0.2572090781366381,-0.3828204181637542,-0.3001052098364234,0.0
PI656066,4.564618180345002,2.9702079340760053,-0.9743944249680798,0.0
PI656068,0.1818413299748818,0.1682985454067146,0.2925799340979306,0.0
PI656069,0.1936892761512791,0.2628564857765197,0.4596345372388616,0.0
PI656070,-0.2494273381391622,-0.513779197163331,-1.190783794789811,0.0
PI656071,0.1558913043906623,0.2099126435072086,0.3920313026061578,0.0
PI656072,1.8832328904369535,1.9536940188924976,0.7291992983025859,0.0
PI656073,-0.2991139167268563,-0.4639949556503703,-0.4905858090128739,0.0
PI656074,-0.7408883353829805,-0.8975392285416237,-1.067407660545439,0.0
PI656075,1.629963384968801,1.142579638746898,-0.2462139242255445,0.0
PI656076,-0.2188574778871576,0.2210898325414201,0.985565417989976,0.0
