environment,genotype,embedding_mean_30,embedding_std_897
Nebraska2025,PI534009,-0.10669998169608504,0.8573486316648088
Nebraska2025,PI534010,-0.14832748832626222,0.8411672327105708
Nebraska2025,PI534011,-0.07884638775806281,0.8533461751956403
Nebraska2025,PI534013,-0.13411164738772377,0.8341002003463766
Nebraska2025,PI534014,-0.1752736888190281,0.8002286321525688
Nebraska2025,PI534015,-0.20907862685558332,0.8565089943106241
Nebraska2025,PI534016,-0.16667557654198523,0.8352069289841252
Nebraska2025,PI534017,-0.21809066839914443,0.795180782224667
Nebraska2025,PI534018,-0.1910157679446222,0.8262576753864992
Nebraska2025,PI534019,-0.18603994638076904,0.8608359906220905
Nebraska2025,PI534020,-0.09450780598738864,0.9158536029128308
Nebraska2025,PI534021,-0.19166251095031717,0.8303431571001509
Nebraska2025,PI534022,-0.268825772034691,0.804211836255138
Nebraska2025,PI534023,-0.18268410267779345,0.8665090454427093
Nebraska2025,PI534024,-0.1540745318022262,0.8198716383390072
Nebraska2025,PI534025,-0.11405401514382275,0.8197041723069087
Nebraska2025,PI534026,-0.09726037558035956,0.8172935357469365
Nebraska2025,PI534027,-0.10583922916933527,0.8339384955386695
Nebraska2025,PI534028,-0.13767808288371003,0.8318530526764124
Nebraska2025,PI534030,-0.17233381344627258,0.7950519752867145
Nebraska2025,PI534031,-0.134709401536743,0.8403778224972983
Nebraska2025,PI534032,-0.12532375872131024,0.8281965085750047
Nebraska2025,PI534033,-0.09350253388766656,0.8569241579251895
Nebraska2025,PI534034,-0.17615884491095432,0.8260212744087636
Nebraska2025,PI534035,0.01045811253257278,0.8859573294208545
Nebraska2025,PI534036,-0.18658249072405217,0.8111187379892749
Nebraska2025,PI534037,-0.08035987296280352,0.8789729738091377
Nebraska2025,PI534038,-0.09275420210419204,0.8689616200442016
Nebraska2025,PI534039,-0.08796220945808565,0.8500548648883038
Nebraska2025,PI534040,-0.149115275540779,0.8324769848123466
Nebraska2025,PI534041,-0.0865553445131746,0.8569544613165626
Nebraska2025,PI534042,-0.14315722774071052,0.8505688155551192
Nebraska2025,PI534043,-0.11751752653814042,0.8546009385239235
Nebraska2025,PI534044,-0.15865634995691494,0.8296214028302644
Nebraska2025,PI534045,-0.18270943289858751,0.8169335597142767
Nebraska2025,PI534046,-0.09348273909585655,0.8829083937571883
Nebraska2025,PI534047,-0.15653541637585813,0.8430596296883683
Nebraska2025,PI534048,-0.11308978754644992,0.8367791988272348
Nebraska2025,PI534049,-0.05827970919030878,0.8447023240806955
Nebraska2025,PI534050,-0.14930824742861065,0.8348234991123608
Nebraska2025,PI534051,-0.02405086143146498,0.8826760861501703
Nebraska2025,PI534052,-0.0434836717740546,0.8514461921417688
Nebraska2025,PI534053,-0.1250161195181696,0.8437106691146302
Nebraska2025,PI534054,-0.14599183293442725,0.8197036812093521
Nebraska2025,PI534055,-0.1420610380501045,0.8447191052372792
Nebraska2025,PI534056,-0.04261534591416358,0.8537589793997511
Nebraska2025,PI534057,-0.14411277900463026,0.8419808030463756
Nebraska2025,PI534058,-0.04864314518855195,0.8396352495868263
Nebraska2025,PI534059,-0.08731501303479118,0.872963336277199
Nebraska2025,PI534060,-0.16142203435102523,0.8266936861569489
Nebraska2025,PI534061,-0.1830027693057614,0.8485838657758554
Nebraska2025,PI534062,-0.15832345541706844,0.8288849540260981
Nebraska2025,PI534063,-0.0799150984487286,0.8176532126776449
Nebraska2025,PI534064,-0.08410325220438636,0.8527374494099411
Nebraska2025,PI534065,-0.1839473666578692,0.8926251067884687
Nebraska2025,PI534066,-0.15195149521724854,0.8199242399957408
Nebraska2025,PI534067,-0.1196472924311214,0.8639068117558661
Nebraska2025,PI534068,-0.20342200255734735,0.8477212250325034
Nebraska2025,PI534069,-0.01202277425142517,0.8836788228200494
Nebraska2025,PI534070,-0.05972966887237774,0.8626161240006478
Nebraska2025,PI534071,-0.1661019506462221,0.8113035861696135
Nebraska2025,PI534072,-0.06241416275697156,0.8455671455609235
Nebraska2025,PI534073,-0.16626713496229442,0.8608906038801215
Nebraska2025,PI534074,-0.23916756153251784,0.8729235521248864
Nebraska2025,PI534075,-0.14782905961795453,0.8317665750853156
Nebraska2025,PI534076,-0.23619880910954624,0.8112241034290242
Nebraska2025,PI534077,-0.2391619224399328,0.8553644918140911
Nebraska2025,PI534078,-0.12353047816979584,0.8497588085854948
Nebraska2025,PI534079,-0.156198948982954,0.8654628567903819
Nebraska2025,PI534080,-0.07426004369468601,0.8248143882358603
Nebraska2025,PI534081,-0.05071391995465812,0.8852669684229292
Nebraska2025,PI534082,-0.11676763715932928,0.8432011063682618
Nebraska2025,PI534083,-0.06942622271163079,0.8940951060873764
Nebraska2025,PI534084,-0.1454283017268629,0.8724015139841652
Nebraska2025,PI534086,-0.00577650152240044,0.9132464276060256
Nebraska2025,PI534087,-0.09003856322313478,0.8676295451254172
Nebraska2025,PI534088,-0.20765454633182304,0.8382026055685492
Nebraska2025,PI534089,-0.05489989693646444,0.8209717497124154
Nebraska2025,PI534090,-0.13234790010913813,0.8510431820894864
Nebraska2025,PI534091,-0.04629270244415814,0.8621551246926618
Nebraska2025,PI534092,-0.1407982124015133,0.8212776889824587
Nebraska2025,PI534093,-0.04919491035080098,0.8620077587838314
Nebraska2025,PI534094,-0.13241926317147742,0.8431894617431495
Nebraska2025,PI534095,-0.06955790279580512,0.8844064737061378
Nebraska2025,PI534096,-0.11928680231479402,0.8650770092116482
Nebraska2025,PI534097,-0.223619776769504,0.8246063207234271
Nebraska2025,PI534098,-0.1048966976642388,0.8511322304368819
Nebraska2025,PI534099,-0.18759564770355652,0.8269197612992759
Nebraska2025,PI534100,-0.1379765408505675,0.8601293095476579
Nebraska2025,PI534101,-0.1465016775336787,0.7907719011227287
Nebraska2025,PI534102,-0.2229600267318844,0.8403990057391678
Nebraska2025,PI534103,-0.1798671153122683,0.8376322062997886
Nebraska2025,PI534104,-0.10953853760749932,0.8521345139992399
Nebraska2025,PI534105,-0.03681606631299922,0.8344952107920225
Nebraska2025,PI534106,-0.11364438883907917,0.8514424030758897
Nebraska2025,PI534107,-0.14444450110716545,0.8338072248978139
Nebraska2025,PI534108,-0.13548833943359934,0.8631037824071951
Nebraska2025,PI534109,-0.01621655823927528,0.8025010821740575
Nebraska2025,PI534110,-0.1965422688461673,0.8317927901404877
Nebraska2025,PI534111,-0.13791444853023532,0.8142021389396306
Nebraska2025,PI534112,-0.06472556292362813,0.839517494493916
Nebraska2025,PI534113,0.12210067203139333,0.920344960779928
Nebraska2025,PI534114,-0.07345072140481287,0.8342619812448187
Nebraska2025,PI534115,-0.09670223694692393,0.8711363933288403
Nebraska2025,PI534116,-0.14833533134166493,0.8349731080961468
Nebraska2025,PI534117,-0.08058088291407885,0.8438663597709265
Nebraska2025,PI534118,-0.0445408207529169,0.827278339813557
Nebraska2025,PI534119,-0.15892713651322604,0.8137475443400971
Nebraska2025,PI534120,-0.19781118712172513,0.8128171827518491
Nebraska2025,PI534121,-0.15762436313851955,0.8294006244194607
Nebraska2025,PI534122,-0.02135153539646178,0.875925635150001
Nebraska2025,PI534123,0.05998658276984084,0.8540726815505277
Nebraska2025,PI534124,-0.0827602024111791,0.8709286283013566
Nebraska2025,PI534125,-0.07094591195057184,0.8415553028661209
Nebraska2025,PI534126,-0.0376305580943368,0.8761742572945125
Nebraska2025,PI534127,-0.11440832485530032,0.8534551588958872
Nebraska2025,PI534128,-0.03121386996001421,0.8756985806714752
Nebraska2025,PI534129,-0.15180926609322098,0.8060542722059086
Nebraska2025,PI534130,-0.21237168945853424,0.823540722408223
Nebraska2025,PI534131,-0.08752707689271623,0.8300646845100899
