trait,source,proportion_variance,broad_sense_h2,heritability_method,model
IC11,Environment,0.1716050235600057,0.1430785190331603,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC11,Genotype,0.1016627530430254,0.1430785190331603,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC11,Residual,0.5789236046053321,0.1430785190331603,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC11,Spatial Factors,0.1478086187916367,0.1430785190331603,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC12,Environment,0.18892879351824185,0.2417276965538047,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC12,Genotype,0.19313984519328845,0.2417276965538047,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC12,Residual,0.4020048348055263,0.2417276965538047,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC12,Spatial Factors,0.21592652648294347,0.2417276965538047,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC13,Environment,0.4305403261866984,0.1404542837867736,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC13,Genotype,0.10925915452664772,0.1404542837867736,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC13,Residual,0.444203315400245,0.1404542837867736,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC13,Spatial Factors,0.015997203886408903,0.1404542837867736,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC14,Environment,0.34649247772252567,0.1286397306286481,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC14,Genotype,0.10644290594621843,0.1286397306286481,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC14,Residual,0.34510060887031263,0.1286397306286481,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC14,Spatial Factors,0.20196400746094326,0.1286397306286481,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC15,Environment,0.10200749177659052,0.3755797752205314,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC15,Genotype,0.26344230798097756,0.3755797752205314,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC15,Residual,0.5971432682907885,0.3755797752205314,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC15,Spatial Factors,0.037406931951643504,0.3755797752205314,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC16,Environment,0.4108698242548902,0.0142895957056125,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC16,Genotype,0.011279461679710702,0.0142895957056125,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC16,Residual,0.4213042955049507,0.0142895957056125,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC16,Spatial Factors,0.15654641856044835,0.0142895957056125,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC17,Environment,0.14484746937672524,0.1659080406561989,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC17,Genotype,0.11849362808667613,0.1659080406561989,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC17,Residual,0.5715746190719813,0.1659080406561989,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC17,Spatial Factors,0.16508428346461743,0.1659080406561989,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC18,Environment,0.0646162670346385,0.1477344232381782,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC18,Genotype,0.1018390177419183,0.1477344232381782,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC18,Residual,0.6213231079159813,0.1477344232381782,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC18,Spatial Factors,0.21222160730746192,0.1477344232381782,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC19,Environment,0.4225726050442643,0.1277814725407552,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC19,Genotype,0.09989925713722973,0.1277814725407552,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC19,Residual,0.4364046657019484,0.1277814725407552,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC19,Spatial Factors,0.041123472116557605,0.1277814725407552,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
