image_id,image_path,environment,plotNumber,genotype,estimated_leaf_area,log_estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
10201_LeafPhotoA_2025-10-21 16_03_53.256,data/externalsourcerequired/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_03_53.256-05_00.jpg,Alabama2025,10201,PI533964,1654025,14.31872226932458,4,CV2,ok
10201_LeafPhotoA_2025-10-21 16_04_22.515,data/externalsourcerequired/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_04_22.515-05_00.jpg,Alabama2025,10201,PI533964,1509412,14.227230728980182,4,CV2,ok
10201_LeafPhotoA_2025-10-21 16_04_48.639,data/externalsourcerequired/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_04_48.639-05_00.jpg,Alabama2025,10201,PI533964,1732631,14.36515162046327,4,CV2,ok
10202_LeafPhotoA_2025-10-21 16_05_52.777,data/externalsourcerequired/aamu2025/block1/10202_LeafPhotoA_2025-10-21 16_05_52.777-05_00.jpg,Alabama2025,10202,PI534128,2224493,14.615039582448727,4,CV2,ok
10202_LeafPhotoA_2025-10-21 16_06_13.338,data/externalsourcerequired/aamu2025/block1/10202_LeafPhotoA_2025-10-21 16_06_13.338-05_00.jpg,Alabama2025,10202,PI534128,2412446,14.696151728525077,4,CV2,ok
10202_LeafPhotoA_2025-10-21 16_06_34.888,data/externalsourcerequired/aamu2025/block1/10202_LeafPhotoA_2025-10-21 16_06_34.888-05_00.jpg,Alabama2025,10202,PI534128,2430842,14.70374825735637,4,CV2,ok
10203_LeafPhotoA_2025-10-21 16_07_33.915,data/externalsourcerequired/aamu2025/block1/10203_LeafPhotoA_2025-10-21 16_07_33.915-05_00.jpg,Alabama2025,10203,PI533822,2264539,14.632881764174991,0,CV2,failed_cropping
10203_LeafPhotoA_2025-10-21 16_07_53.919,data/externalsourcerequired/aamu2025/block1/10203_LeafPhotoA_2025-10-21 16_07_53.919-05_00.jpg,Alabama2025,10203,PI533822,2321302,14.657638793121347,4,CV2,ok
10203_LeafPhotoA_2025-10-21 16_08_06.205,data/externalsourcerequired/aamu2025/block1/10203_LeafPhotoA_2025-10-21 16_08_06.205-05_00.jpg,Alabama2025,10203,PI533822,2321554,14.657747346994329,4,CV2,ok
10204_LeafPhotoA_2025-10-21 16_09_45.838,data/externalsourcerequired/aamu2025/block1/10204_LeafPhotoA_2025-10-21 16_09_45.838-05_00.jpg,Alabama2025,10204,PI564164,1712843,14.353665121033561,4,CV2,ok
10204_LeafPhotoA_2025-10-21 16_10_11.988,data/externalsourcerequired/aamu2025/block1/10204_LeafPhotoA_2025-10-21 16_10_11.988-05_00.jpg,Alabama2025,10204,PI564164,1688125,14.339129003529017,4,CV2,ok
10204_LeafPhotoA_2025-10-21 16_10_46.513,data/externalsourcerequired/aamu2025/block1/10204_LeafPhotoA_2025-10-21 16_10_46.513-05_00.jpg,Alabama2025,10204,PI564164,1615212,14.294976775373671,4,CV2,ok
10205_LeafPhotoA_2025-10-21 16_11_17.349,data/externalsourcerequired/aamu2025/block1/10205_LeafPhotoA_2025-10-21 16_11_17.349-05_00.jpg,Alabama2025,10205,PI576386,0,,0,SAM3,failed_segmentation
10205_LeafPhotoA_2025-10-21 16_11_45.527,data/externalsourcerequired/aamu2025/block1/10205_LeafPhotoA_2025-10-21 16_11_45.527-05_00.jpg,Alabama2025,10205,PI576386,1941911,14.479183097741,4,CV2,ok
10205_LeafPhotoA_2025-10-21 16_12_20.123,data/externalsourcerequired/aamu2025/block1/10205_LeafPhotoA_2025-10-21 16_12_20.123-05_00.jpg,Alabama2025,10205,PI576386,1715886,14.355440123256804,4,CV2,ok
10206_LeafPhotoA_2025-10-21 16_13_29.186,data/externalsourcerequired/aamu2025/block1/10206_LeafPhotoA_2025-10-21 16_13_29.186-05_00.jpg,Alabama2025,10206,PI576375,2536750,14.746394292141328,4,CV2,ok
10206_LeafPhotoA_2025-10-21 16_13_45.262,data/externalsourcerequired/aamu2025/block1/10206_LeafPhotoA_2025-10-21 16_13_45.262-05_00.jpg,Alabama2025,10206,PI576375,1791194,14.39839299455138,4,CV2,ok
10206_LeafPhotoA_2025-10-21 16_14_00.223,data/externalsourcerequired/aamu2025/block1/10206_LeafPhotoA_2025-10-21 16_14_00.223-05_00.jpg,Alabama2025,10206,PI576375,2034445,14.52573361238926,4,CV2,ok
10207_LeafPhotoA_2025-10-21 16_14_43.035,data/externalsourcerequired/aamu2025/block1/10207_LeafPhotoA_2025-10-21 16_14_43.035-05_00.jpg,Alabama2025,10207,WRAY,3824401,15.15691241167232,4,CV2,ok
10207_LeafPhotoA_2025-10-21 16_14_59.673,data/externalsourcerequired/aamu2025/block1/10207_LeafPhotoA_2025-10-21 16_14_59.673-05_00.jpg,Alabama2025,10207,WRAY,3577385,15.09014264454317,4,CV2,ok
