image_path,image_id,plotNumber,environment,ExG_P20_disease_pct
1021_LeafPhotoA_2025-09-08 09_56_13.637-05_00_leaf.png,1021_LeafPhotoA_2025-09-08 09_56_13.637-05_00,1021,Nebraska2025,0.02
1021_LeafPhotoA_2025-09-08 09_56_28.590-05_00_leaf.png,1021_LeafPhotoA_2025-09-08 09_56_28.590-05_00,1021,Nebraska2025,0.04
1022_LeafPhotoA_2025-09-08 09_56_58.902-05_00_leaf.png,1022_LeafPhotoA_2025-09-08 09_56_58.902-05_00,1022,Nebraska2025,1.61
1022_LeafPhotoA_2025-09-08 09_57_13.943-05_00_leaf.png,1022_LeafPhotoA_2025-09-08 09_57_13.943-05_00,1022,Nebraska2025,0.02
1022_LeafPhotoA_2025-09-08 09_57_30.921-05_00_leaf.png,1022_LeafPhotoA_2025-09-08 09_57_30.921-05_00,1022,Nebraska2025,0.1
1023_LeafPhotoA_2025-09-08 09_57_52.275-05_00_leaf.png,1023_LeafPhotoA_2025-09-08 09_57_52.275-05_00,1023,Nebraska2025,0.01
1023_LeafPhotoA_2025-09-08 09_58_19.651-05_00_leaf.png,1023_LeafPhotoA_2025-09-08 09_58_19.651-05_00,1023,Nebraska2025,0.16
1023_LeafPhotoA_2025-09-08 09_58_33.821-05_00_leaf.png,1023_LeafPhotoA_2025-09-08 09_58_33.821-05_00,1023,Nebraska2025,0.97
1024_LeafPhotoA_2025-09-08 09_59_13.129-05_00_leaf.png,1024_LeafPhotoA_2025-09-08 09_59_13.129-05_00,1024,Nebraska2025,0.65
1024_LeafPhotoA_2025-09-08 09_59_38.426-05_00_leaf.png,1024_LeafPhotoA_2025-09-08 09_59_38.426-05_00,1024,Nebraska2025,3.25
1024_LeafPhotoA_2025-09-08 09_59_52.200-05_00_leaf.png,1024_LeafPhotoA_2025-09-08 09_59_52.200-05_00,1024,Nebraska2025,4.56
1025_LeafPhotoA_2025-09-08 10_00_36.145-05_00_leaf.png,1025_LeafPhotoA_2025-09-08 10_00_36.145-05_00,1025,Nebraska2025,0.12
1025_LeafPhotoA_2025-09-08 10_00_48.160-05_00_leaf.png,1025_LeafPhotoA_2025-09-08 10_00_48.160-05_00,1025,Nebraska2025,0.05
1025_LeafPhotoA_2025-09-08 10_01_00.108-05_00_leaf.png,1025_LeafPhotoA_2025-09-08 10_01_00.108-05_00,1025,Nebraska2025,0.02
1026_LeafPhotoA_2025-09-08 10_01_28.900-05_00_leaf.png,1026_LeafPhotoA_2025-09-08 10_01_28.900-05_00,1026,Nebraska2025,0.24
1026_LeafPhotoA_2025-09-08 10_01_43.312-05_00_leaf.png,1026_LeafPhotoA_2025-09-08 10_01_43.312-05_00,1026,Nebraska2025,0.03
1026_LeafPhotoA_2025-09-08 10_01_59.080-05_00_leaf.png,1026_LeafPhotoA_2025-09-08 10_01_59.080-05_00,1026,Nebraska2025,0.09
1027_LeafPhotoA_2025-09-08 10_02_50.654-05_00_leaf.png,1027_LeafPhotoA_2025-09-08 10_02_50.654-05_00,1027,Nebraska2025,0.01
1027_LeafPhotoA_2025-09-08 10_03_06.832-05_00_leaf.png,1027_LeafPhotoA_2025-09-08 10_03_06.832-05_00,1027,Nebraska2025,0.28
1028_LeafPhotoA_2025-09-08 10_03_31.588-05_00_leaf.png,1028_LeafPhotoA_2025-09-08 10_03_31.588-05_00,1028,Nebraska2025,0.37
1028_LeafPhotoA_2025-09-08 10_03_47.511-05_00_leaf.png,1028_LeafPhotoA_2025-09-08 10_03_47.511-05_00,1028,Nebraska2025,2.1
1028_LeafPhotoA_2025-09-08 10_03_59.770-05_00_leaf.png,1028_LeafPhotoA_2025-09-08 10_03_59.770-05_00,1028,Nebraska2025,2.54
1029_LeafPhotoA_2025-09-08 10_04_31.255-05_00_leaf.png,1029_LeafPhotoA_2025-09-08 10_04_31.255-05_00,1029,Nebraska2025,0.11
1029_LeafPhotoA_2025-09-08 10_04_42.098-05_00_leaf.png,1029_LeafPhotoA_2025-09-08 10_04_42.098-05_00,1029,Nebraska2025,0.02
