genotype,mask_pixels_blue,days_to_flower_blue
PI534049,4327373.574604008,62.21723047703836
PI534050,4307224.649370553,63.503122157197154
PI534051,3739839.2567133233,63.06167842077607
PI534052,4284374.672368812,65.8578274400939
PI534053,3105648.015439605,63.05049921741821
PI534054,4078946.122355738,67.95009460344349
PI534055,2995625.957694799,56.60451038594233
PI534056,3508195.2903214935,
PI534057,4024015.4594130367,55.44956463130997
PI534058,2268099.7567133233,49.57076861088567
PI534059,2834991.468951269,54.625992382670105
PI534060,2863509.285840149,48.601177894147845
PI534061,3809891.012286098,56.44547317889209
PI534062,3875464.5230885367,68.54883297152098
PI534063,4395050.369113427,62.8624488646453
PI534064,2801332.849725818,
PI534065,3192688.0160204554,56.84025336150479
PI534066,2564640.741345072,56.05198192903631
PI534067,3507350.0554429824,57.50933349814922
PI534068,4389994.270627588,
PI534069,2807553.8450544374,54.57102847466146
PI534070,3022527.5953077287,50.03433152095064
PI534071,2688343.178987232,
PI534072,2601630.937867308,56.11402334340296
PI534073,4167896.793790183,51.14844774958637
PI534074,2947883.213202246,57.22647332614146
PI534075,3170342.7545635225,53.04857310774521
PI534076,3180094.743662917,54.97350270984432
PI534077,2260644.3333509006,59.5483029993874
PI534078,2415114.4751956486,51.50357579983408
PI534079,3395964.5430535916,50.55546707982404
PI534080,3195225.7356689963,51.25950159478539
PI534081,3337432.8326871223,58.8413896352685
PI534082,3393362.605932426,54.73609348838457
PI534083,2901678.9151656395,56.38464436778578
PI534084,2783270.0460984027,48.92895904457011
PI534086,4170690.5277194525,66.57436096645591
PI534087,3729728.359238458,50.794196109326585
PI534088,3244159.714348883,66.60337411217861
PI534089,3189792.28548316,66.26109151118601
PI534090,3509249.849248286,49.48198659832374
PI534091,2384630.185569271,50.12659868430025
PI534092,3391296.0755641568,65.04569425858764
PI534093,2334720.438952765,48.921611429854416
PI534094,3270945.917927691,55.97516895574152
PI534095,2432559.1296019224,
PI534096,3150377.3430535914,49.48145662619021
PI534097,2932903.3377109026,63.81457270757658
PI534098,3647804.342899929,62.98259289995389
PI534099,4008084.7557666744,62.23783606377842
PI534100,4617467.106394923,60.78730213724776
PI534101,4026017.2412212966,60.61576591879682
PI534102,3350492.8225954142,56.6797334428365
PI534103,3161249.147265788,57.80828503712796
PI534104,4266927.644269315,
PI534105,3524925.3800641303,60.326011774710246
PI534106,3121634.5140667255,65.39487083165909
PI534107,4037958.907937343,62.718366750802325
PI534108,4235132.649680204,59.61367690554858
PI534109,4666851.949234199,60.4625172853476
PI534110,4177725.3662706763,61.204731465637884
PI534111,4056723.0565047627,56.75480384073737
PI534112,4044307.7162964074,63.07417743217678
PI534113,3581829.026939091,64.01039344241627
PI534114,3087484.160574465,66.29639232735738
PI534115,4442283.033011739,63.53834664387189
PI534116,2766670.8794317357,48.83805714347401
PI534117,3500375.170373058,51.54463431432055
PI534118,4881346.722100054,68.82093670752187
PI534119,3538563.1399593325,65.19965639844955
PI534120,4145561.805932426,70.76563660624083
PI534121,4316225.486552783,67.8401770320082
PI534122,3593475.5952301756,66.3726753285186
PI534123,3904604.7336039986,70.19852012468584
PI534124,3731817.9210442356,69.80548251746698
PI534125,3520290.167927691,68.97857777703265
PI534126,3353977.126119482,72.50819722438553
PI534127,3318294.030723122,68.61254063178487
PI534128,4430542.834863946,68.55872324212191
PI534129,4046343.750591939,
PI534130,4053347.003131001,70.40335472013854
PI534131,4607058.415930442,71.34813094835411
PI534132,4988994.676233262,67.50645464899165
PI534133,3243910.379868913,50.75260762270656
PI534134,4234488.257548436,66.60852550886362
PI534135,4473502.564348884,70.02838004377432
PI534136,4212642.818862107,67.42168775935096
PI534137,4463868.087787096,57.00759092275534
PI534138,2918698.960221262,56.4063098987927
PI534139,3184785.7412212966,58.59516033205698
PI534140,3485428.083925272,63.0936776204389
PI534141,3572343.995619431,69.39093203823441
PI534142,3317410.0696993833,55.32654174684377
PI534143,3690165.2103225784,63.01641100450716
PI534144,4088984.864731394,67.51694097664074
PI534146,5037423.249294255,64.56981587140115
PI534147,3073186.9945610696,53.85169242863841
PI534148,4174136.7382027972,70.86926650722752
PI534149,2432815.0833508996,61.716700504905056
PI534150,2972138.1281470954,68.29927117651494
PI534151,3349973.8191134264,67.38971943497411
PI534152,3602962.431149822,63.200186370583054
PI534153,3959657.074653894,53.52716744051405
PI534154,4412691.026119483,71.53258894555675
PI534155,4701726.250286111,67.64731147582263
PI534156,4588681.287386142,68.51842368825878
PI534157,4452622.965095316,70.29517972409707
PI534158,3746027.557900425,64.14329635290139
PI534159,4343492.104869464,68.84199593689866
PI534160,3583860.1445154552,62.14791777745279
PI534161,4411502.960428105,
PI534162,4239475.678131001,62.843132210662354
PI534163,3472949.277533562,65.2554101423675
PI534164,2596982.5317068687,61.76328772921681
PI534165,3973253.507926736,63.23321463922704
PI534166,3017217.3557371977,51.93986813957018
PI534167,3840594.8901739237,64.73435091299076
PI540816,4066973.3625934892,68.4620636427107
PI542406,2833197.9015831854,73.21216996619584
PI542718,4291385.167517468,55.1342061627918
PI543243,3206231.926390609,64.77227071454386
PI543247,3437264.706858716,68.77113444078016
PI544069,3561371.0930572767,55.78817854723571
PI548797,3782787.178387771,66.5982990449903
PI552856,4474429.510293319,59.44721575428596
PI552861,4509465.3849859405,68.27078800292583
PI554646,3993425.04019205,63.76999816701647
PI554648,3691665.331858716,69.75409033432463
PI554649,3803580.623525383,70.79158736852683
PI554650,3002939.5401920495,54.73022858528693
PI554654,3809479.998525383,60.275679535835
PI555457,4414832.540192049,68.74954523926982
PI561071,4293645.355442982,68.52524133084103
PI561072,3135159.3994333884,54.31980043375816
PI561073,4201271.084594357,70.97630522950523
PI561472,5024483.960754857,65.60834197458446
PI561926,3518471.373525383,59.28704227347198
PI562623,3926127.5401920495,71.74500014421503
PI564163,4021514.93704683,59.75466676300031
PI564164,3943254.42245253,67.93358046912157
PI564165,4346482.924219454,68.35563122206307
PI565121,4682733.175565455,58.01440856533751
PI574397,3485024.7068587155,54.787042273472
PI574398,3893117.373525383,69.29158736852679
PI574407,3962085.873525383,67.74386387045134
PI574455,4807221.255928747,
PI576130,4116174.223844863,73.21216996619584
PI576328,3604813.9143600967,62.02751387836842
PI576329,3594410.4336703895,66.55940587324864
PI576330,3849765.135406144,
PI576331,2932036.5382598722,67.50698462112518
PI576332,3535393.1453468665,57.25366756697368
PI576333,3840671.4503949243,65.30661879123068
PI576334,3912126.77699625,52.02008993415605
PI576335,3059748.4528224794,62.64208374964108
PI576336,2967818.080950752,
PI576337,2799432.173338281,
PI576338,3156360.110935981,63.1412939137318
PI576339,4543384.473704601,56.50524204573135
PI576340,4034337.18006413,63.807831394490975
PI576341,2321212.0856179367,52.16689823816336
PI576342,3494752.3455266324,51.4210814577208
PI576343,3149117.195753704,55.56273836504317
PI576344,4738521.664360097,
PI576345,4119982.9558122894,66.46774501152916
PI576346,2920956.8797517703,48.95297345260107
PI576347,2741943.485666603,
PI576348,2605099.107859963,59.40335472013855
PI576350,3046730.295435354,51.76843912590181
PI576351,4039229.1475240598,49.75707638826479
PI576352,2841271.35659969,58.122237123524606
PI576353,3540582.2733998457,66.79411977982997
PI576354,4189305.6047351914,64.30199736667927
PI576355,4172657.8575198073,55.90789981519334
PI576356,3437251.925659116,
PI576357,3327318.213946432,60.03887661600542
PI576358,3585183.0912964065,68.53327157668353
PI576359,3650649.734350241,66.41593006103587
PI576360,3429784.7877145195,66.69905009681939
PI576361,3592854.022109649,59.52183250954988
PI576362,3794847.962286098,65.87502420554257
PI576363,3500466.2763249865,61.91994518395711
PI576364,3569207.9079373423,59.69223245423717
PI576365,3303180.0628518714,
PI576366,3788310.8984286487,61.77472679635045
PI576367,2922411.4205547916,
PI576368,3349224.8388881334,62.81578531083691
PI576369,5110362.535406145,65.99963700640944
PI576370,3427697.4400665117,63.28275704219296
PI576371,3197437.2250034125,62.54989291578808
PI576372,3457042.8115715133,67.46145734108053
PI576373,3452078.4224333405,66.72079195732293
PI576374,4630987.764483157,70.66950697896316
PI576375,4330861.176233262,65.9882742687724
PI576376,3812410.8786802003,63.83449566318967
PI576377,3495899.16819728,57.51554483910126
PI576378,3822867.894908075,64.64549257093222
PI576379,3916536.5997377303,62.18033974446661
PI576380,4533003.406556355,64.1677644035693
PI576381,3732161.162286098,60.87388793177891
PI576382,4209720.13277316,49.94448956412158
PI576383,2505579.969886384,51.04080272567843
PI576385,3137373.8985476387,55.82040673538831
PI576386,2931527.9207194746,68.01728741449513
PI576387,3905001.7596798674,57.85328234503908
PI576389,2577476.0826871227,61.819800433758175
PI576390,2936139.757519807,52.038346643871904
PI576391,3708190.7559244423,64.39880962508373
PI576392,4020566.809130899,60.606329290832754
PI576393,3052375.5488215843,57.36979647936099
PI576394,3214899.537236293,
PI576395,3980708.5128518716,55.72874587366883
PI576396,1869230.1982381803,66.93418677075167
PI576397,4168543.6612277366,62.90396102176869
PI576398,4870687.350102494,67.37146272525828
PI576399,3092908.509566596,58.034861493084165
PI576400,3722479.2280920926,67.84873724998425
PI576401,4659098.898428649,68.77699934387785
PI576402,4156389.1957537034,69.525241330841
PI576403,4940345.970373059,63.660156925077736
PI576404,2794900.879601922,
PI576405,4127977.9371727933,69.6156895893002
PI576406,4130176.72129468,67.64958402335006
PI576407,5492007.655053591,64.5531182028
PI576408,2270167.2231390905,61.517741057132056
PI576409,3537227.1633365178,48.38237182025836
PI576410,3484692.5327211088,60.6398875316103
PI576411,3114543.063524729,67.97368624412346
PI576412,3464322.620569626,70.34479845655959
PI576413,3336766.806625999,54.68033974446661
PI576414,3290413.0681000045,59.704201493504335
PI576415,2865829.4654429825,49.07978247149872
