image_path,image_id,plotNumber,environment,block,row,column,genotype,device,estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
data/externalsourcerequired/aamu2025/block1/10205_LeafPhotoA_2025-10-21 16_11_45.527-05_00.jpg,10205_LeafPhotoA_2025-10-21 16_11_45.527,10205,Alabama2025,1.0,2,5,PI576386,AL1,1941911,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10205_LeafPhotoA_2025-10-21 16_12_20.123-05_00.jpg,10205_LeafPhotoA_2025-10-21 16_12_20.123,10205,Alabama2025,1.0,2,5,PI576386,AL1,1715886,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10206_LeafPhotoA_2025-10-21 16_13_29.186-05_00.jpg,10206_LeafPhotoA_2025-10-21 16_13_29.186,10206,Alabama2025,1.0,2,6,PI576375,AL1,2536750,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10206_LeafPhotoA_2025-10-21 16_13_45.262-05_00.jpg,10206_LeafPhotoA_2025-10-21 16_13_45.262,10206,Alabama2025,1.0,2,6,PI576375,AL1,1791194,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10206_LeafPhotoA_2025-10-21 16_14_00.223-05_00.jpg,10206_LeafPhotoA_2025-10-21 16_14_00.223,10206,Alabama2025,1.0,2,6,PI576375,AL1,2034445,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10207_LeafPhotoA_2025-10-21 16_14_43.035-05_00.jpg,10207_LeafPhotoA_2025-10-21 16_14_43.035,10207,Alabama2025,1.0,2,7,WRAY,AL1,3824401,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10207_LeafPhotoA_2025-10-21 16_14_59.673-05_00.jpg,10207_LeafPhotoA_2025-10-21 16_14_59.673,10207,Alabama2025,1.0,2,7,WRAY,AL1,3577385,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10207_LeafPhotoA_2025-10-21 16_15_23.481-05_00.jpg,10207_LeafPhotoA_2025-10-21 16_15_23.481,10207,Alabama2025,1.0,2,7,WRAY,AL1,4165734,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10208_LeafPhotoA_2025-10-21 16_16_24.756-05_00.jpg,10208_LeafPhotoA_2025-10-21 16_16_24.756,10208,Alabama2025,1.0,2,8,PI656079,AL1,1639503,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10208_LeafPhotoA_2025-10-21 16_16_41.101-05_00.jpg,10208_LeafPhotoA_2025-10-21 16_16_41.101,10208,Alabama2025,1.0,2,8,PI656079,AL1,1648584,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10208_LeafPhotoA_2025-10-21 16_16_54.447-05_00.jpg,10208_LeafPhotoA_2025-10-21 16_16_54.447,10208,Alabama2025,1.0,2,8,PI656079,AL1,1999377,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10209_LeafPhotoA_2025-10-21 16_17_14.171-05_00.jpg,10209_LeafPhotoA_2025-10-21 16_17_14.171,10209,Alabama2025,1.0,2,9,,AL1,793934,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10209_LeafPhotoA_2025-10-21 16_17_29.809-05_00.jpg,10209_LeafPhotoA_2025-10-21 16_17_29.809,10209,Alabama2025,1.0,2,9,,AL1,1665282,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10209_LeafPhotoA_2025-10-21 16_17_44.566-05_00.jpg,10209_LeafPhotoA_2025-10-21 16_17_44.566,10209,Alabama2025,1.0,2,9,,AL1,1514484,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10210_LeafPhotoA_2025-10-21 16_18_23.457-05_00.jpg,10210_LeafPhotoA_2025-10-21 16_18_23.457,10210,Alabama2025,1.0,2,10,PI533769,AL1,1420735,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10210_LeafPhotoA_2025-10-21 16_18_44.067-05_00.jpg,10210_LeafPhotoA_2025-10-21 16_18_44.067,10210,Alabama2025,1.0,2,10,PI533769,AL1,1714617,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10210_LeafPhotoA_2025-10-21 16_18_55.913-05_00.jpg,10210_LeafPhotoA_2025-10-21 16_18_55.913,10210,Alabama2025,1.0,2,10,PI533769,AL1,1800252,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_19_36.527-05_00.jpg,10211_LeafPhotoA_2025-10-21 16_19_36.527,10211,Alabama2025,1.0,2,11,PI534046,AL1,1154831,4,CV2,ok
